#10000.000  0.800  30.000  10.000  0.700  0.000  25.000  2.000  0.700  1.000  25.000  2.000  0.700  0.900  25.000  2.000  3.000  1.000  1.000  1.000  10.000  0.000  1.000  201.000  0.000  9500.000  0.000  0.000  1.000  0.100  0.010  0.000  0.000  0.000  0.000  0.000  10.000  
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
277,28.81,22.91,25.69,23.73,76,288.01,278.89,478.87,0
278,27.08,21.80,24.87,22.19,75,291.61,9.46,483.66,1
279,29.48,26.74,25.80,23.80,74,296.80,33.26,488.50,0
280,32.89,27.92,27.31,24.21,73,297.06,57.48,493.38,0
281,27.85,21.90,24.85,25.41,72,296.06,82.89,498.31,0
282,29.78,24.21,22.16,24.18,71,301.58,107.06,503.30,0
283,27.11,24.74,23.47,26.50,70,305.10,133.56,508.33,0
284,30.23,24.19,24.33,26.09,69,308.40,159.66,513.41,0
285,30.03,25.59,25.06,25.79,68,312.63,185.44,518.55,0
286,35.84,32.58,24.27,25.73,67,315.74,211.17,523.73,0
287,40.01,32.48,23.58,25.58,66,311.48,236.75,528.97,0
288,38.18,33.28,24.39,24.95,65,306.90,261.70,534.26,0
289,41.45,33.20,24.89,25.87,64,300.98,287.57,539.60,0
290,41.32,32.85,24.54,26.12,63,294.55,19.14,545.00,1
291,38.44,29.56,23.45,24.74,62,287.87,43.88,550.45,0
292,35.26,30.10,24.69,21.99,61,284.14,65.87,555.95,0
293,34.62,25.60,25.03,24.91,60,279.44,90.78,561.51,0
294,29.85,22.42,23.98,26.21,59,279.23,116.99,567.13,0
295,30.84,26.73,24.71,25.93,58,282.49,142.92,572.80,0
296,28.72,22.60,24.41,26.90,57,281.33,169.81,578.53,0
297,30.02,24.78,25.96,26.12,56,284.61,195.94,584.31,0
298,31.93,27.18,24.47,25.57,55,285.82,221.51,590.16,0
299,30.32,24.94,24.20,25.71,54,284.51,247.21,596.06,0
300,30.63,27.30,24.51,25.17,53,285.53,272.39,602.02,0
301,29.96,26.54,25.35,25.99,52,284.05,298.38,608.04,0
302,29.23,24.33,23.31,23.62,51,283.25,321.99,614.12,0
303,31.09,25.62,22.45,23.72,50,284.82,345.71,620.26,0
304,28.44,20.52,22.39,24.50,49,285.12,370.21,626.46,0
305,30.88,23.48,21.22,22.53,48,291.06,101.68,632.73,1
306,29.09,25.47,22.86,24.08,47,294.34,125.75,639.05,0
307,30.27,27.63,22.85,24.25,46,295.76,150.01,645.45,0
308,28.34,25.30,22.41,24.71,45,294.94,174.71,651.90,0
309,30.62,23.64,25.02,24.14,44,296.61,198.85,658.42,0
310,34.71,26.90,25.22,25.82,43,300.26,224.67,665.00,0
311,36.97,32.83,27.63,26.08,42,300.70,250.76,671.65,0
312,38.63,30.69,25.85,27.31,41,294.65,278.06,678.37,0
313,33.55,28.11,25.20,27.51,40,290.36,15.22,685.15,1
314,33.97,25.72,26.58,28.23,39,288.48,43.44,692.00,0
315,33.15,26.31,25.68,27.80,38,289.03,71.24,698.92,0
316,33.30,24.93,26.08,26.34,37,289.00,97.58,705.91,0
317,38.61,28.51,25.90,30.00,36,290.47,127.57,712.97,0
318,35.85,29.85,25.97,28.81,35,288.15,156.38,720.10,0
319,30.49,26.39,25.05,27.98,34,284.13,184.36,727.30,0
320,26.10,22.21,24.00,26.61,33,283.52,210.97,734.58,0
321,26.40,20.61,23.21,26.75,32,287.44,237.72,741.92,0
322,27.81,23.11,24.46,26.19,31,293.51,263.91,749.34,0
323,23.40,17.59,25.20,24.62,30,297.44,288.53,756.84,0
324,25.90,22.64,25.20,26.05,29,307.84,6.74,764.40,1
325,29.68,24.88,25.77,26.00,28,313.72,32.74,772.05,0
326,34.69,30.15,24.90,25.77,27,317.73,58.51,779.77,0
327,36.08,31.14,25.11,26.40,26,316.34,84.91,787.57,0
328,34.65,28.24,24.69,25.97,25,313.73,110.88,795.44,0
329,37.57,28.35,23.38,25.68,24,314.04,136.56,803.40,0
330,38.29,30.69,25.07,25.65,23,314.26,162.21,811.43,0
331,29.85,25.99,24.15,26.90,22,311.93,189.10,819.54,0
332,32.46,27.35,24.34,27.94,21,314.54,217.05,827.74,0
333,32.83,26.18,24.12,28.01,20,315.90,245.06,836.02,0
334,35.66,29.18,24.01,25.97,19,318.69,271.03,844.38,0
335,32.68,28.23,24.41,25.18,18,318.46,296.20,852.82,0
336,31.50,25.82,23.80,23.88,17,319.25,0.83,861.35,1
337,35.09,24.95,24.52,25.25,16,322.77,26.08,869.96,0
338,39.91,33.41,24.97,25.69,15,327.60,51.76,878.66,0
339,41.19,36.16,26.12,28.38,14,323.60,80.15,887.45,0
340,33.75,27.16,26.11,28.48,13,316.19,108.63,896.32,0
341,34.49,27.65,25.68,28.60,12,317.93,137.22,905.29,0
342,37.75,30.86,25.14,26.22,11,319.31,163.44,914.34,0
343,40.03,32.92,24.68,28.41,10,317.29,191.85,923.48,0
344,40.73,33.32,26.57,27.02,9,312.81,218.87,932.72,0
345,41.09,31.97,27.38,28.11,8,307.43,246.99,942.05,0
346,42.99,35.20,27.55,28.62,7,303.01,275.61,951.47,0
347,41.56,31.10,29.21,28.08,6,294.60,9.10,960.98,1
348,30.51,25.65,28.13,25.21,5,289.84,34.31,970.59,0
349,34.10,27.27,28.32,26.50,4,290.61,60.81,980.30,0
350,31.88,25.75,26.47,27.66,3,289.68,88.47,990.10,0
351,36.83,34.09,24.95,26.25,2,290.32,114.72,1000.00,0
352,32.54,25.84,25.82,26.46,1,281.85,141.19,1010.00,0
353,30.72,25.30,26.85,25.43,1,281.63,166.62,1010.00,0
354,27.80,20.97,25.89,25.97,53,281.95,192.59,602.02,0
355,31.96,26.45,25.02,26.60,52,287.08,219.19,608.04,0
356,30.29,27.66,26.43,26.67,51,286.70,245.86,614.12,0
357,26.74,23.42,27.64,25.67,50,284.93,271.53,620.26,0
358,27.84,21.60,25.77,22.80,49,287.67,6.65,626.46,1
359,26.00,21.92,25.68,22.18,48,292.68,28.83,632.73,0
360,27.79,25.22,25.19,23.21,47,297.84,52.04,639.05,0
361,26.23,18.05,24.67,23.43,46,299.88,75.48,645.45,0
362,32.86,28.70,25.68,23.12,45,310.02,98.60,651.90,0
363,34.31,25.97,24.82,25.86,44,309.46,124.46,658.42,0
364,32.50,26.50,25.02,25.96,43,311.84,150.42,665.00,0
365,39.68,32.58,23.02,26.03,42,313.87,176.45,671.65,0
366,37.46,29.26,22.94,24.41,41,309.42,200.86,678.37,0
367,39.40,36.61,22.68,22.28,40,308.18,223.14,685.15,0
368,31.87,29.32,23.51,19.93,39,298.72,243.07,692.00,0
369,27.33,21.68,25.22,22.48,38,296.35,265.55,698.92,0
370,24.84,22.22,26.40,21.85,37,302.13,287.39,705.91,0
371,30.89,23.72,26.57,23.44,36,307.90,2.93,712.97,1
372,30.85,21.44,25.49,25.95,35,312.59,28.88,720.10,0
373,33.35,30.70,26.55,27.56,34,320.26,56.45,727.30,0
374,34.42,27.35,26.50,28.12,33,318.52,84.57,734.58,0
375,36.52,33.15,25.26,28.02,32,320.29,112.58,741.92,0
376,34.78,27.48,26.73,26.57,31,315.85,139.15,749.34,0
377,34.48,29.95,26.98,27.62,30,317.21,166.78,756.84,0
378,35.75,25.64,28.15,24.51,29,315.98,191.29,764.40,0
379,35.10,25.95,26.80,26.05,28,319.37,217.33,772.05,0
380,40.46,31.21,26.74,26.90,27,322.77,244.24,779.77,0
381,38.98,31.34,28.08,27.16,26,320.71,271.39,787.57,0
382,37.99,30.51,26.41,28.33,25,318.31,299.73,795.44,0
383,39.20,30.72,24.43,28.65,24,316.58,11.79,803.40,1
384,43.03,31.19,24.69,28.64,23,314.45,40.43,811.43,0
