# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
256,15.57,21.85,15.15,24.24,12,259.29,707.31,872.67,0
257,11.54,22.47,12.08,22.61,11,261.19,729.93,881.40,0
258,14.24,21.94,13.43,20.33,10,262.59,750.26,890.21,0
259,20.77,23.04,19.08,23.24,9,264.71,773.50,899.11,0
260,15.57,22.54,15.62,23.10,8,265.84,796.59,908.10,0
261,20.40,23.83,18.26,22.71,7,267.62,819.30,917.18,0
262,22.10,23.55,20.24,21.63,6,268.17,840.93,926.36,0
263,13.47,24.12,13.60,23.57,5,269.09,864.50,935.62,0
264,11.82,23.15,11.28,22.92,4,269.47,887.42,944.98,0
265,11.39,23.90,8.58,20.11,3,270.95,907.53,954.43,0
266,17.96,23.12,18.01,19.85,2,271.75,927.37,963.97,0
267,20.93,21.91,20.50,22.33,1,273.49,949.70,973.61,0
268,27.12,22.78,21.85,23.26,1,278.29,972.96,973.25,0
269,30.23,23.48,24.82,23.93,1,282.09,714.81,972.88,1
270,33.50,24.10,25.48,25.98,1,282.99,457.79,972.51,1
271,34.45,23.45,31.28,24.52,1,283.26,199.05,972.13,1
272,34.93,23.49,30.71,24.84,36,278.79,223.89,674.73,0
273,33.04,24.82,23.86,24.85,35,280.82,248.75,681.47,0
274,34.14,25.51,29.51,24.89,34,281.60,273.64,688.29,0
275,37.01,26.12,27.97,28.11,33,281.70,20.05,695.17,1
276,32.95,26.37,28.45,27.82,32,281.14,47.87,702.12,0
277,31.35,25.10,25.24,25.30,31,280.24,73.17,709.14,0
278,22.17,24.16,20.11,25.41,30,280.66,98.58,716.24,0
279,23.31,24.98,20.49,24.93,29,282.15,123.51,723.40,0
280,29.13,24.78,22.92,25.57,28,282.89,149.09,730.63,0
281,29.46,25.65,22.95,27.48,27,283.92,176.57,737.94,0
282,32.86,26.24,29.81,25.83,26,284.09,202.39,745.32,0
283,30.03,26.83,21.52,26.27,25,283.64,228.67,752.77,0
284,36.35,26.84,29.32,26.09,24,282.49,254.75,760.30,0
285,34.95,25.89,31.57,23.93,23,281.21,278.68,767.90,0
286,33.57,24.79,25.99,23.73,22,280.86,21.55,775.58,1
287,23.56,24.48,15.92,23.62,21,281.68,45.17,783.34,0
288,23.17,24.18,16.10,22.59,20,282.92,67.76,791.17,0
289,24.81,25.08,19.11,23.81,19,284.61,91.57,799.08,0
290,30.36,27.38,25.45,25.13,18,285.48,116.70,807.07,0
291,35.80,26.56,28.36,26.31,17,283.90,143.02,815.14,0
292,35.98,25.42,26.30,25.55,16,283.07,168.57,823.30,0
293,38.87,25.24,29.69,27.37,15,283.42,195.94,831.53,0
294,29.69,26.06,25.57,25.94,14,284.00,221.88,839.84,0
295,28.43,27.50,24.47,26.21,13,283.74,248.09,848.24,0
296,27.37,27.70,22.26,26.19,12,281.86,274.28,856.72,0
297,25.65,26.55,19.41,25.03,11,279.58,19.73,865.29,1
298,22.31,25.69,24.18,24.24,10,278.34,43.97,873.94,0
299,22.66,25.37,22.45,24.71,9,277.92,68.68,882.68,0
300,16.55,25.91,16.32,22.04,8,277.80,90.72,891.51,0
